quiz1,quiz2,assignment,class activity,midterm
9,9,13,4.5,17.5
9,8,14.5,5,17
7.5,9,11.5,4,13.5
5,4,11.5,4,13.5
8,9,13.5,4.5,16
7.5,7.5,11,3.5,14
6.5,6,11,4,9
4,3.5,11.5,3.5,6.5
9.5,10,14,4.5,19.5
9,4,14.25,4.75,12
4.5,8,12,4,7
8,8,12.5,3.5,10.5
7.5,7,14,4.5,17
7.5,7.5,13,4,17
7.5,8.5,12,4,17.5
8,6.5,11,3.5,14
9,8.5,13.5,4.5,15
7,5.25,11.5,4,12.5
6.5,4.75,13.5,4,13
7.5,8.5,12,4.5,15
6.5,6.5,11.5,4,10.5
5,5.25,11.5,4,11
7,9,13,4.5,13.5
8.5,5.5,14,4,15
7.5,8,12,4.5,14.5
8,5,11.5,4,8.5
6,8.5,12,3.5,14.5
8,9,14,5,19
8.5,5.75,11.5,4,15.5
7.5,7,11,3.5,11
7,5.75,12.5,4,15
8.5,8,13,4,15
4.5,5,11.5,4,14
2,7,11.5,4,13.5
9,9,14.5,5,15
9,9.5,12.5,4,18
7,7.5,12,4.5,17
8,9,13,4.5,16
6.5,5.5,13,4.5,7
8.25,8.75,13.5,4,16.75
7.75,8.5,12.5,4,12.75
6,3.5,12,3.5,9.5
9,7,13,4.5,14
9,2,13.5,5,15.75
8.25,9,14.5,4,15.5
5,5.5,11.5,3,13
2.75,5.5,11.75,4,7.5
8.75,9.25,13,4,17
10,8.5,13.5,4.5,15.75
9,9,13.5,4,18.5
